"month","coin_name","monthly_volatility"
"2013-04",Bitcoin,
"2013-05",Bitcoin,5.1698
"2013-06",Bitcoin,3.2462
"2013-07",Bitcoin,5.8331
"2013-08",Bitcoin,2.6514
"2013-09",Bitcoin,3.0231
"2013-10",Bitcoin,5.2515
"2013-11",Bitcoin,9.9698
"2013-12",Bitcoin,11.6288
"2013-12",Dogecoin,63.6173
"2014-01",Bitcoin,5.1877
"2014-01",Dogecoin,23.2796
"2014-02",Bitcoin,4.7409
"2014-02",Dogecoin,10.5358
"2014-03",Bitcoin,5.4492
"2014-03",Dogecoin,8.9383
"2014-04",Bitcoin,6.1633
"2014-04",Dogecoin,11.6171
"2014-05",Bitcoin,3.1074
"2014-05",Dogecoin,3.3606
"2014-06",Bitcoin,2.7594
"2014-06",Dogecoin,5.8865
"2014-07",Bitcoin,1.3485
"2014-07",Dogecoin,5.9375
"2014-08",Bitcoin,2.9943
"2014-08",Dogecoin,8.5680
"2014-09",Bitcoin,2.9860
"2014-09",Dogecoin,11.6729
"2014-10",Bitcoin,3.2327
"2014-10",Dogecoin,4.8487
"2014-11",Bitcoin,3.8975
"2014-11",Dogecoin,4.4939
"2014-12",Bitcoin,2.2980
"2014-12",Dogecoin,3.5436
"2015-01",Bitcoin,7.3717
"2015-01",Dogecoin,6.5894
"2015-02",Bitcoin,3.8113
"2015-02",Dogecoin,2.5437
"2015-03",Bitcoin,3.2762
"2015-03",Dogecoin,2.4959
"2015-04",Bitcoin,2.4309
"2015-04",Dogecoin,2.7441
"2015-05",Bitcoin,1.4103
"2015-05",Dogecoin,6.4841
"2015-06",Bitcoin,1.7456
"2015-06",Dogecoin,6.1888
"2015-07",Bitcoin,2.5090
"2015-07",Dogecoin,3.4366
"2015-08",Bitcoin,4.3163
"2015-08",Dogecoin,3.5640
"2015-08",Ethereum,17.2931
"2015-09",Bitcoin,1.2991
"2015-09",Dogecoin,1.8425
"2015-09",Ethereum,7.2986
"2015-10",Bitcoin,1.9104
"2015-10",Dogecoin,3.4950
"2015-10",Ethereum,10.2569
"2015-11",Bitcoin,4.9759
"2015-11",Dogecoin,3.2859
"2015-11",Ethereum,6.5109
"2015-12",Bitcoin,3.3057
"2015-12",Dogecoin,3.8094
"2015-12",Ethereum,3.6069
"2016-01",Bitcoin,4.2644
"2016-01",Dogecoin,15.7224
"2016-01",Ethereum,7.4660
"2016-02",Bitcoin,1.9002
"2016-02",Dogecoin,3.3799
"2016-02",Ethereum,11.6337
"2016-03",Bitcoin,1.3103
"2016-03",Dogecoin,4.7241
"2016-03",Ethereum,9.9443
"2016-04",Bitcoin,1.2174
"2016-04",Dogecoin,2.2531
"2016-04",Ethereum,6.1273
"2016-05",Bitcoin,2.5126
"2016-05",Dogecoin,1.5796
"2016-05",Ethereum,6.1978
"2016-06",Bitcoin,4.7907
"2016-06",Dogecoin,4.7469
"2016-06",Ethereum,8.8890
"2016-07",Bitcoin,2.4224
"2016-07",Dogecoin,2.3045
"2016-07",Ethereum,6.3992
"2016-08",Bitcoin,2.1764
"2016-08",Dogecoin,4.5483
"2016-08",Ethereum,5.7304
"2016-09",Bitcoin,1.1431
"2016-09",Dogecoin,2.3949
"2016-09",Ethereum,3.1610
"2016-10",Bitcoin,1.3497
"2016-10",Dogecoin,1.4983
"2016-10",Ethereum,2.5379
"2016-11",Bitcoin,2.0563
"2016-11",Dogecoin,2.0760
"2016-11",Ethereum,2.6744
"2016-12",Bitcoin,1.9298
"2016-12",Dogecoin,1.7847
"2016-12",Ethereum,4.9698
"2017-01",Bitcoin,5.0873
"2017-01",Dogecoin,2.6542
"2017-01",Ethereum,5.0131
"2017-02",Bitcoin,2.0637
"2017-02",Dogecoin,2.2644
"2017-02",Ethereum,3.6641
"2017-03",Bitcoin,4.8390
"2017-03",Dogecoin,5.2905
"2017-03",Ethereum,12.0544
"2017-04",Bitcoin,1.6437
"2017-04",Dogecoin,10.2654
"2017-04",Ethereum,6.0713
"2017-05",Bitcoin,4.2210
"2017-05",Dogecoin,16.6526
"2017-05",Ethereum,9.6827
"2017-06",Bitcoin,4.1096
"2017-06",Dogecoin,6.8017
"2017-06",Ethereum,7.1539
"2017-07",Binance Coin,3.0159
"2017-07",Bitcoin,6.4596
"2017-07",Dogecoin,8.7737
"2017-07",Ethereum,9.3412
"2017-08",Binance Coin,23.8052
"2017-08",Bitcoin,3.8246
"2017-08",Dogecoin,4.3220
"2017-08",Ethereum,4.2529
"2017-09",Binance Coin,15.6615
"2017-09",Bitcoin,6.5448
"2017-09",Dogecoin,12.9273
"2017-09",Ethereum,8.0607
"2017-10",Binance Coin,9.3540
"2017-10",Bitcoin,3.5682
"2017-10",Dogecoin,4.4057
"2017-10",Ethereum,2.8395
"2017-11",Binance Coin,7.8024
"2017-11",Bitcoin,4.5020
"2017-11",Dogecoin,9.7159
"2017-11",Ethereum,4.8703
"2017-12",Binance Coin,11.9903
"2017-12",Bitcoin,8.7629
"2017-12",Dogecoin,13.5301
"2017-12",Ethereum,7.6960
"2018-01",Binance Coin,17.1732
"2018-01",Bitcoin,6.3970
"2018-01",Dogecoin,11.8128
"2018-01",Ethereum,7.7438
"2018-02",Binance Coin,9.5852
"2018-02",Bitcoin,7.0836
"2018-02",Dogecoin,10.2013
"2018-02",Ethereum,7.0426
"2018-03",Binance Coin,7.7970
"2018-03",Bitcoin,4.4228
"2018-03",Dogecoin,5.4058
"2018-03",Ethereum,4.3771
"2018-04",Binance Coin,5.9163
"2018-04",Bitcoin,4.5334
"2018-04",Dogecoin,6.4232
"2018-04",Ethereum,5.7251
"2018-05",Binance Coin,5.9332
"2018-05",Bitcoin,2.7725
"2018-05",Dogecoin,4.8357
"2018-05",Ethereum,5.0422
"2018-06",Binance Coin,5.0759
"2018-06",Bitcoin,3.4989
"2018-06",Dogecoin,4.2111
"2018-06",Ethereum,4.6471
"2018-07",Binance Coin,3.9383
"2018-07",Bitcoin,3.2781
"2018-07",Dogecoin,6.6046
"2018-07",Ethereum,3.4288
"2018-08",Binance Coin,5.1789
"2018-08",Bitcoin,2.7482
"2018-08",Dogecoin,10.6169
"2018-08",Ethereum,4.2913
"2018-09",Binance Coin,3.2297
"2018-09",Bitcoin,2.2966
"2018-09",Dogecoin,8.4964
"2018-09",Ethereum,6.4267
"2018-10",Binance Coin,2.8490
"2018-10",Bitcoin,1.4202
"2018-10",Dogecoin,3.7235
"2018-10",Ethereum,3.5105
"2018-11",Binance Coin,5.2664
"2018-11",Bitcoin,4.8062
"2018-11",Dogecoin,4.3122
"2018-11",Ethereum,5.5614
"2018-12",Binance Coin,6.8365
"2018-12",Bitcoin,4.4775
"2018-12",Dogecoin,4.6660
"2018-12",Ethereum,7.0358
"2019-01",Binance Coin,4.5976
"2019-01",Bitcoin,2.5747
"2019-01",Dogecoin,2.1883
"2019-01",Ethereum,4.7327
"2019-02",Binance Coin,4.6537
"2019-02",Bitcoin,2.6954
"2019-02",Dogecoin,2.3871
"2019-02",Ethereum,4.9502
"2019-03",Binance Coin,5.3371
"2019-03",Bitcoin,1.1587
"2019-03",Dogecoin,0.8213
"2019-03",Ethereum,2.2580
"2019-04",Binance Coin,4.5092
"2019-04",Bitcoin,3.6743
"2019-04",Dogecoin,6.8147
"2019-04",Ethereum,4.1128
"2019-05",Binance Coin,5.5831
"2019-05",Bitcoin,4.6769
"2019-05",Dogecoin,4.1531
"2019-05",Ethereum,5.2334
"2019-06",Binance Coin,3.9807
"2019-06",Bitcoin,5.3451
"2019-06",Dogecoin,2.2463
"2019-06",Ethereum,4.6787
"2019-07",Binance Coin,3.8854
"2019-07",Bitcoin,5.1931
"2019-07",Dogecoin,5.1465
"2019-07",Ethereum,5.1374
"2019-08",Binance Coin,3.4325
"2019-08",Bitcoin,3.3027
"2019-08",Dogecoin,2.3094
"2019-08",Ethereum,3.4745
"2019-09",Binance Coin,4.2950
"2019-09",Bitcoin,2.8545
"2019-09",Dogecoin,3.4187
"2019-09",Ethereum,4.2269
"2019-10",Binance Coin,3.8098
"2019-10",Bitcoin,3.8010
"2019-10",Dogecoin,2.7411
"2019-10",Ethereum,3.4210
"2019-11",Binance Coin,3.4421
"2019-11",Bitcoin,2.4631
"2019-11",Dogecoin,2.8253
"2019-11",Ethereum,2.8383
"2019-12",Binance Coin,3.0928
"2019-12",Bitcoin,2.4519
"2019-12",Dogecoin,2.0381
"2019-12",Ethereum,2.9830
"2020-01",Binance Coin,3.4046
"2020-01",Bitcoin,2.8180
"2020-01",Dogecoin,3.3638
"2020-01",Ethereum,3.7052
"2020-02",Binance Coin,4.7100
"2020-02",Bitcoin,2.5616
"2020-02",Dogecoin,4.5175
"2020-02",Ethereum,4.8377
"2020-03",Binance Coin,10.4025
"2020-03",Bitcoin,8.8986
"2020-03",Dogecoin,7.1946
"2020-03",Ethereum,10.3864
"2020-04",Binance Coin,4.0096
"2020-04",Bitcoin,3.5872
"2020-04",Dogecoin,3.3243
"2020-04",Ethereum,5.2368
"2020-05",Binance Coin,3.0558
"2020-05",Bitcoin,3.3500
"2020-05",Dogecoin,2.2916
"2020-05",Ethereum,3.8270
"2020-06",Binance Coin,2.1159
"2020-06",Bitcoin,2.4278
"2020-06",Dogecoin,1.7079
"2020-06",Ethereum,2.6533
"2020-07",Binance Coin,2.3161
"2020-07",Bitcoin,2.2423
"2020-07",Dogecoin,11.9899
"2020-07",Ethereum,2.8137
"2020-08",Binance Coin,3.0616
"2020-08",Bitcoin,2.2675
"2020-08",Dogecoin,3.6368
"2020-08",Ethereum,4.0890
"2020-09",Binance Coin,7.2905
"2020-09",Bitcoin,2.8461
"2020-09",Dogecoin,2.7824
"2020-09",Ethereum,5.5253
"2020-10",Binance Coin,2.9086
"2020-10",Bitcoin,1.9102
"2020-10",Dogecoin,1.0268
"2020-10",Ethereum,2.5467
"2020-11",Binance Coin,3.7494
"2020-11",Bitcoin,3.6543
"2020-11",Dogecoin,5.9661
"2020-11",Ethereum,4.5282
"2020-12",Binance Coin,3.8742
"2020-12",Bitcoin,3.3763
"2020-12",Dogecoin,6.6467
"2020-12",Ethereum,4.1774
"2021-01",Binance Coin,4.0732
"2021-01",Bitcoin,5.5659
"2021-01",Dogecoin,66.4178
"2021-01",Ethereum,8.2148
"2021-02",Binance Coin,18.0108
"2021-02",Bitcoin,5.2938
"2021-02",Dogecoin,14.6893
"2021-02",Ethereum,5.3326
"2021-03",Binance Coin,7.1472
"2021-03",Bitcoin,3.6354
"2021-03",Dogecoin,4.9583
"2021-03",Ethereum,4.3644
"2021-04",Binance Coin,7.0936
"2021-04",Bitcoin,3.6139
"2021-04",Dogecoin,23.5692
"2021-04",Ethereum,4.4500
"2021-05",Binance Coin,11.3151
"2021-05",Bitcoin,5.7912
"2021-05",Dogecoin,14.5153
"2021-05",Ethereum,10.3534
"2021-06",Binance Coin,6.5133
"2021-06",Bitcoin,5.1419
"2021-06",Dogecoin,10.0145
"2021-06",Ethereum,5.4739
"2021-07",Binance Coin,4.0884
"2021-07",Bitcoin,3.0772
"2021-07",Dogecoin,2.9118
"2021-07",Ethereum,5.3594
