"date","coin_name","daily_return"
2017-08-05,Binance Coin,19.8867
2017-08-07,Binance Coin,13.6253
2017-08-08,Binance Coin,50.7719
2017-08-10,Binance Coin,43.7060
2017-08-11,Binance Coin,12.4593
2017-08-12,Binance Coin,13.7027
2017-08-13,Binance Coin,96.4374
2017-08-14,Binance Coin,47.7565
2017-08-15,Binance Coin,-18.4490
2017-08-16,Binance Coin,36.0314
2017-08-17,Binance Coin,36.8700
2017-08-18,Binance Coin,21.1906
2017-08-19,Binance Coin,-12.1909
2017-08-20,Binance Coin,19.5479
2017-08-26,Binance Coin,-13.1168
2017-08-29,Binance Coin,13.9351
2017-09-02,Binance Coin,-16.4204
2017-09-03,Binance Coin,-20.9206
2017-09-04,Binance Coin,-33.3945
2017-09-06,Binance Coin,11.5459
2017-09-07,Binance Coin,25.7867
2017-09-08,Binance Coin,-26.3054
2017-09-14,Binance Coin,-27.5735
2017-09-15,Binance Coin,17.8149
2017-09-18,Binance Coin,15.1488
2017-09-19,Binance Coin,-11.7440
2017-09-25,Binance Coin,17.0811
2017-09-27,Binance Coin,32.8683
2017-09-28,Binance Coin,20.4799
2017-10-01,Binance Coin,18.9275
2017-10-02,Binance Coin,28.7017
2017-10-04,Binance Coin,-12.0404
2017-10-08,Binance Coin,-23.1668
2017-10-09,Binance Coin,15.3258
2017-11-03,Binance Coin,12.2796
2017-11-04,Binance Coin,12.1969
2017-11-07,Binance Coin,15.0753
2017-11-08,Binance Coin,12.4322
2017-11-13,Binance Coin,10.9845
2017-11-18,Binance Coin,10.8564
2017-11-24,Binance Coin,10.9130
2017-11-30,Binance Coin,14.0129
2017-12-04,Binance Coin,11.8725
2017-12-14,Binance Coin,13.7015
2017-12-15,Binance Coin,26.5109
2017-12-16,Binance Coin,16.7286
2017-12-17,Binance Coin,23.4116
2017-12-20,Binance Coin,-10.6368
2017-12-22,Binance Coin,-16.2907
2017-12-23,Binance Coin,11.6027
2017-12-25,Binance Coin,24.1091
2017-12-26,Binance Coin,37.6434
2017-12-27,Binance Coin,11.9341
2017-12-30,Binance Coin,-10.9745
2017-12-31,Binance Coin,10.1335
2018-01-05,Binance Coin,61.8973
2018-01-06,Binance Coin,52.5742
2018-01-07,Binance Coin,-18.0274
2018-01-11,Binance Coin,20.9990
2018-01-16,Binance Coin,-28.9951
2018-01-21,Binance Coin,-13.1066
2018-01-30,Binance Coin,-11.8595
2018-02-01,Binance Coin,-14.6179
2018-02-04,Binance Coin,-13.2419
2018-02-05,Binance Coin,-20.7316
2018-02-06,Binance Coin,23.6214
2018-02-09,Binance Coin,13.2041
2018-02-14,Binance Coin,15.7322
2018-02-20,Binance Coin,-10.5744
2018-03-13,Binance Coin,25.8224
2018-03-14,Binance Coin,-11.4282
2018-03-23,Binance Coin,16.6029
2018-03-24,Binance Coin,11.5143
2018-03-29,Binance Coin,-12.4076
2018-04-02,Binance Coin,14.0473
2018-04-24,Binance Coin,12.0416
2018-04-25,Binance Coin,-12.9379
2018-04-26,Binance Coin,10.2529
2018-05-18,Binance Coin,21.4232
2018-05-31,Binance Coin,12.8813
2018-06-06,Binance Coin,10.5659
2018-06-10,Binance Coin,-11.1444
2018-08-13,Binance Coin,-12.8907
2018-08-17,Binance Coin,10.8696
2018-08-27,Binance Coin,10.0848
2018-09-05,Binance Coin,-11.2032
2018-11-19,Binance Coin,-17.0964
2018-11-20,Binance Coin,-13.1464
2018-12-04,Binance Coin,15.1008
2018-12-06,Binance Coin,-17.2551
2018-12-17,Binance Coin,10.0050
2018-12-28,Binance Coin,13.9586
2019-01-10,Binance Coin,-10.9256
2019-01-14,Binance Coin,10.6043
2019-01-28,Binance Coin,-12.4435
2019-02-05,Binance Coin,10.1304
2019-02-08,Binance Coin,10.9341
2019-03-05,Binance Coin,19.6261
2019-03-24,Binance Coin,13.4508
2019-04-02,Binance Coin,10.2464
2019-04-18,Binance Coin,12.4220
2019-04-19,Binance Coin,11.0570
2019-05-13,Binance Coin,14.3096
2019-05-15,Binance Coin,13.8342
2019-05-18,Binance Coin,10.5683
2019-07-16,Binance Coin,-10.1025
2019-09-24,Binance Coin,-17.5402
2019-10-09,Binance Coin,10.5436
2019-10-25,Binance Coin,10.2091
2020-02-09,Binance Coin,11.5972
2020-03-08,Binance Coin,-15.8849
2020-03-12,Binance Coin,-41.9046
2020-03-13,Binance Coin,12.8424
2020-03-16,Binance Coin,-10.0610
2020-03-19,Binance Coin,21.3507
2020-09-03,Binance Coin,-16.4861
2020-09-06,Binance Coin,19.0561
2020-09-12,Binance Coin,12.0953
2020-09-15,Binance Coin,-12.7531
2020-09-21,Binance Coin,-11.8378
2020-11-26,Binance Coin,-10.0120
2021-02-01,Binance Coin,16.5591
2021-02-05,Binance Coin,21.3150
2021-02-08,Binance Coin,16.3886
2021-02-09,Binance Coin,35.1587
2021-02-10,Binance Coin,20.2391
2021-02-12,Binance Coin,10.0568
2021-02-17,Binance Coin,26.6141
2021-02-18,Binance Coin,18.9849
2021-02-19,Binance Coin,69.7604
2021-02-20,Binance Coin,-23.0483
2021-02-21,Binance Coin,14.8347
2021-02-23,Binance Coin,-13.6502
2021-02-24,Binance Coin,10.1149
2021-03-01,Binance Coin,21.4986
2021-03-09,Binance Coin,22.1142
2021-03-30,Binance Coin,13.1577
2021-04-01,Binance Coin,10.9743
2021-04-08,Binance Coin,11.5784
2021-04-11,Binance Coin,11.1785
2021-04-12,Binance Coin,13.9587
2021-04-20,Binance Coin,16.2220
2021-05-12,Binance Coin,-12.5159
2021-05-19,Binance Coin,-33.2656
2021-05-20,Binance Coin,16.1012
2021-05-21,Binance Coin,-17.1022
2021-05-23,Binance Coin,-12.2063
2021-05-24,Binance Coin,31.3236
2021-05-26,Binance Coin,10.3862
2021-05-28,Binance Coin,-10.2748
2021-06-02,Binance Coin,10.6032
2021-06-21,Binance Coin,-20.3144
2021-06-23,Binance Coin,12.4790
2013-05-01,Bitcoin,-15.8345
2013-05-02,Bitcoin,-10.0692
2013-05-04,Bitcoin,15.0895
2013-07-03,Bitcoin,-13.9836
2013-07-05,Bitcoin,-15.0198
2013-07-10,Bitcoin,13.1249
2013-10-02,Bitcoin,-13.6556
2013-10-19,Bitcoin,10.5540
2013-10-23,Bitcoin,10.2498
2013-10-27,Bitcoin,10.7828
2013-11-07,Bitcoin,12.9181
2013-11-08,Bitcoin,14.0683
2013-11-13,Bitcoin,13.0547
2013-11-17,Bitcoin,11.7873
2013-11-18,Bitcoin,42.9680
2013-11-19,Bitcoin,-16.9069
2013-11-21,Bitcoin,22.2737
2013-11-26,Bitcoin,16.1417
2013-12-01,Bitcoin,-15.3688
2013-12-06,Bitcoin,-20.6351
2013-12-07,Bitcoin,-15.8201
2013-12-08,Bitcoin,13.9839
2013-12-09,Bitcoin,12.2281
2013-12-10,Bitcoin,10.6719
2013-12-11,Bitcoin,-11.1309
2013-12-16,Bitcoin,-19.4209
2013-12-18,Bitcoin,-23.3713
2013-12-19,Bitcoin,32.3819
2013-12-26,Bitcoin,11.6929
2014-01-07,Bitcoin,-15.8703
2014-01-27,Bitcoin,-12.8649
2014-02-20,Bitcoin,-10.7362
2014-03-03,Bitcoin,19.2876
2014-03-27,Bitcoin,-18.8676
2014-04-10,Bitcoin,-17.5163
2014-04-11,Bitcoin,15.2724
2014-04-14,Bitcoin,10.8013
2014-04-15,Bitcoin,12.3803
2014-11-12,Bitcoin,15.1936
2015-01-03,Bitcoin,-10.7767
2015-01-13,Bitcoin,-15.6593
2015-01-14,Bitcoin,-21.1449
2015-01-15,Bitcoin,17.8217
2015-01-28,Bitcoin,-11.2193
2015-03-18,Bitcoin,-10.2296
2015-08-18,Bitcoin,-18.1788
2015-11-02,Bitcoin,10.9879
2015-11-03,Bitcoin,11.6914
2015-11-10,Bitcoin,-11.4233
2016-01-15,Bitcoin,-15.3321
2016-01-20,Bitcoin,10.5435
2016-05-28,Bitcoin,11.9494
2016-06-12,Bitcoin,10.8874
2016-06-16,Bitcoin,10.3444
2016-06-22,Bitcoin,-10.5806
2017-01-04,Bitcoin,10.6233
2017-01-05,Bitcoin,-12.2410
2017-01-06,Bitcoin,-10.9711
2017-01-11,Bitcoin,-14.3137
2017-03-18,Bitcoin,-11.4896
2017-06-12,Bitcoin,-10.0902
2017-07-15,Bitcoin,-10.4991
2017-07-17,Bitcoin,15.4724
2017-07-20,Bitcoin,23.9361
2017-08-05,Bitcoin,12.3285
2017-09-14,Bitcoin,-18.7411
2017-09-15,Bitcoin,15.2956
2017-09-18,Bitcoin,13.4618
2017-10-12,Bitcoin,12.8547
2017-11-13,Bitcoin,10.2422
2017-11-15,Bitcoin,10.2444
2017-12-06,Bitcoin,19.9283
2017-12-07,Bitcoin,25.2472
2017-12-16,Bitcoin,10.1119
2017-12-22,Bitcoin,-12.4730
2017-12-26,Bitcoin,14.7805
2017-12-30,Bitcoin,-11.6265
2018-01-05,Bitcoin,11.7333
2018-01-11,Bitcoin,-10.4686
2018-01-16,Bitcoin,-16.8548
2018-01-20,Bitcoin,11.1291
2018-01-21,Bitcoin,-10.0712
2018-01-30,Bitcoin,-10.5352
2018-02-01,Bitcoin,-10.2783
2018-02-05,Bitcoin,-15.9688
2018-02-06,Bitcoin,11.4838
2018-02-14,Bitcoin,10.4244
2018-03-14,Bitcoin,-10.0604
2018-04-12,Bitcoin,13.2160
2018-11-19,Bitcoin,-13.3732
2018-11-24,Bitcoin,-10.7278
2018-11-28,Bitcoin,11.4298
2018-12-20,Bitcoin,10.3710
2019-04-02,Bitcoin,17.3560
2019-05-11,Bitcoin,12.9478
2019-05-13,Bitcoin,12.0840
2019-05-19,Bitcoin,12.7418
2019-06-26,Bitcoin,10.3920
2019-06-27,Bitcoin,-14.0857
2019-06-28,Bitcoin,10.9501
2019-07-03,Bitcoin,10.7353
2019-07-16,Bitcoin,-13.0100
2019-07-18,Bitcoin,10.0340
2019-09-24,Bitcoin,-11.3960
2019-10-25,Bitcoin,15.5763
2020-03-12,Bitcoin,-37.1695
2020-03-13,Bitcoin,11.9281
2020-03-19,Bitcoin,18.1878
2020-03-23,Bitcoin,10.0520
2020-04-29,Bitcoin,12.7318
2020-07-27,Bitcoin,10.9610
2020-09-03,Bitcoin,-10.2395
2020-11-05,Bitcoin,10.2319
2021-01-13,Bitcoin,10.0032
2021-01-21,Bitcoin,-13.2837
2021-02-08,Bitcoin,18.7465
2021-04-26,Bitcoin,10.2389
2021-05-12,Bitcoin,-13.3217
2021-05-19,Bitcoin,-13.7661
2021-05-20,Bitcoin,10.2163
2021-05-24,Bitcoin,11.3182
2021-06-09,Bitcoin,11.5691
2021-06-21,Bitcoin,-11.2655
2013-12-17,Dogecoin,31.1672
2013-12-18,Dogecoin,34.6656
2013-12-19,Dogecoin,221.4570
2013-12-20,Dogecoin,-39.4519
2013-12-21,Dogecoin,-44.0690
2013-12-22,Dogecoin,-20.0460
2013-12-23,Dogecoin,43.3416
2013-12-24,Dogecoin,51.9437
2013-12-25,Dogecoin,-14.4186
2013-12-27,Dogecoin,-13.3005
2013-12-28,Dogecoin,-12.1416
2014-01-02,Dogecoin,-19.7058
2014-01-03,Dogecoin,-14.1979
2014-01-05,Dogecoin,-10.0073
2014-01-07,Dogecoin,-11.7826
2014-01-10,Dogecoin,52.0614
2014-01-13,Dogecoin,-19.6045
2014-01-14,Dogecoin,23.0713
2014-01-15,Dogecoin,20.9550
2014-01-18,Dogecoin,41.5278
2014-01-19,Dogecoin,18.4980
2014-01-20,Dogecoin,79.8432
2014-01-21,Dogecoin,44.7789
2014-01-22,Dogecoin,-17.5018
2014-01-23,Dogecoin,20.2834
2014-01-26,Dogecoin,-13.5752
2014-01-27,Dogecoin,-23.5143
2014-01-28,Dogecoin,11.3300
2014-01-29,Dogecoin,18.0965
2014-02-02,Dogecoin,-12.1961
2014-02-05,Dogecoin,12.2201
2014-02-07,Dogecoin,-13.9224
2014-02-09,Dogecoin,19.3610
2014-02-11,Dogecoin,28.1131
2014-02-13,Dogecoin,-13.5236
2014-02-26,Dogecoin,19.8694
2014-03-03,Dogecoin,15.3489
2014-03-08,Dogecoin,-10.1501
2014-03-10,Dogecoin,-10.6523
2014-03-12,Dogecoin,18.1851
2014-03-25,Dogecoin,-12.1618
2014-03-27,Dogecoin,-26.9962
2014-03-28,Dogecoin,11.1040
2014-03-29,Dogecoin,13.3305
2014-04-02,Dogecoin,-20.0495
2014-04-10,Dogecoin,-21.3359
2014-04-11,Dogecoin,26.7683
2014-04-14,Dogecoin,18.5149
2014-04-15,Dogecoin,27.3212
2014-04-16,Dogecoin,20.4785
2014-04-25,Dogecoin,-18.6735
2014-05-30,Dogecoin,-11.0811
2014-06-01,Dogecoin,18.7748
2014-06-25,Dogecoin,-13.3195
2014-07-02,Dogecoin,-13.6926
2014-07-08,Dogecoin,17.8196
2014-07-17,Dogecoin,11.6339
2014-08-15,Dogecoin,-17.2840
2014-08-16,Dogecoin,11.8639
2014-08-18,Dogecoin,-14.4389
2014-08-20,Dogecoin,13.8660
2014-08-25,Dogecoin,-10.7650
2014-08-26,Dogecoin,28.2793
2014-09-04,Dogecoin,12.2334
2014-09-06,Dogecoin,29.1637
2014-09-07,Dogecoin,-10.7350
2014-09-09,Dogecoin,10.9373
2014-09-13,Dogecoin,30.0580
2014-09-14,Dogecoin,29.2060
2014-09-18,Dogecoin,10.9817
2014-09-24,Dogecoin,11.3430
2014-09-26,Dogecoin,20.1711
2014-09-27,Dogecoin,-16.7707
2014-10-02,Dogecoin,-10.0719
2014-10-22,Dogecoin,11.3337
2014-11-23,Dogecoin,17.2323
2015-01-13,Dogecoin,-13.1188
2015-01-14,Dogecoin,-14.8697
2015-01-15,Dogecoin,21.1965
2015-05-12,Dogecoin,19.4905
2015-05-20,Dogecoin,11.6050
2015-05-26,Dogecoin,13.7682
2015-05-27,Dogecoin,14.2192
2015-06-02,Dogecoin,12.9679
2015-06-16,Dogecoin,17.0333
2015-06-23,Dogecoin,-14.6321
2015-08-18,Dogecoin,-10.8060
2015-10-29,Dogecoin,12.1597
2015-12-29,Dogecoin,12.0710
2016-01-08,Dogecoin,13.6684
2016-01-09,Dogecoin,13.5928
2016-01-15,Dogecoin,-14.6992
2016-01-20,Dogecoin,13.4608
2016-01-24,Dogecoin,12.1024
2016-01-26,Dogecoin,68.2748
2016-01-27,Dogecoin,27.7324
2016-01-28,Dogecoin,-24.3783
2016-01-30,Dogecoin,-18.4630
2016-03-29,Dogecoin,18.1268
